Export der Kurvenform vom 13.04.2015 08:58:25:
----------------------------------------------
 U1= 231,7V ; U2= 230,2V ; U3= 233,5V ;
 I1= 134,0A ; I2= 117,2A ; I3= 130,6A ;
----------------------------------------------
  U1 ;  U2 ;  U3 ;  I1 ;  I2 ;  I3 ;
 224 ;  55 ;  91 ; 159 ; 118 ; 132 ;
 225 ;  60 ;  86 ; 159 ; 119 ; 132 ;
 225 ;  66 ;  81 ; 159 ; 120 ; 133 ;
 225 ;  72 ;  76 ; 159 ; 121 ; 133 ;
 225 ;  77 ;  72 ; 159 ; 121 ; 133 ;
 225 ;  82 ;  69 ; 158 ; 121 ; 134 ;
 224 ;  87 ;  65 ; 157 ; 122 ; 136 ;
 224 ;  92 ;  60 ; 156 ; 123 ; 137 ;
 224 ;  97 ;  55 ; 156 ; 124 ; 139 ;
 223 ; 102 ;  50 ; 154 ; 124 ; 139 ;
 223 ; 106 ;  47 ; 154 ; 125 ; 140 ;
 221 ; 111 ;  44 ; 153 ; 125 ; 140 ;
 219 ; 115 ;  42 ; 152 ; 126 ; 141 ;
 216 ; 119 ;  39 ; 151 ; 127 ; 141 ;
 213 ; 124 ;  36 ; 150 ; 128 ; 142 ;
 211 ; 130 ;  33 ; 150 ; 129 ; 143 ;
 209 ; 135 ;  31 ; 149 ; 130 ; 143 ;
 206 ; 139 ;  29 ; 148 ; 131 ; 144 ;
 203 ; 143 ;  27 ; 148 ; 131 ; 144 ;
