Export der Kurvenform vom 13.04.2015 08:46:54:
----------------------------------------------
 U1= 232,2V ; U2= 231,0V ; U3= 229,9V ;
 I1=  60,6A ; I2=  66,1A ; I3=  46,5A ;
----------------------------------------------
  U1 ;  U2 ;  U3 ;  I1 ;  I2 ;  I3 ;
 206 ;  78 ; 103 ; 209 ; 106 ; 103 ;
 206 ;  74 ; 106 ; 209 ; 102 ; 102 ;
 206 ;  71 ; 109 ; 208 ;  97 ; 103 ;
 205 ;  68 ; 113 ; 204 ;  91 ; 106 ;
 203 ;  65 ; 117 ; 198 ;  89 ; 108 ;
 202 ;  63 ; 120 ; 190 ;  86 ; 110 ;
 200 ;  61 ; 124 ; 184 ;  82 ; 112 ;
 198 ;  59 ; 129 ; 181 ;  80 ; 112 ;
 196 ;  57 ; 132 ; 180 ;  77 ; 115 ;
 194 ;  55 ; 136 ; 180 ;  76 ; 117 ;
 191 ;  54 ; 139 ; 181 ;  76 ; 117 ;
 189 ;  52 ; 143 ; 183 ;  71 ; 121 ;
 187 ;  51 ; 147 ; 183 ;  69 ; 123 ;
 184 ;  51 ; 150 ; 182 ;  66 ; 125 ;
 181 ;  51 ; 154 ; 183 ;  61 ; 130 ;
 177 ;  50 ; 158 ; 179 ;  60 ; 133 ;
 173 ;  50 ; 162 ; 170 ;  59 ; 137 ;
 169 ;  50 ; 166 ; 164 ;  57 ; 140 ;
 165 ;  50 ; 169 ; 165 ;  54 ; 142 ;
 161 ;  50 ; 172 ; 169 ;  51 ; 144 ;
 157 ;  50 ; 176 ; 170 ;  50 ; 146 ;
 154 ;  51 ; 179 ; 170 ;  49 ; 150 ;
 150 ;  51 ; 182 ; 170 ;  51 ; 151 ;
 147 ;  51 ; 185 ; 170 ;  53 ; 154 ;
 143 ;  52 ; 188 ; 168 ;  56 ; 158 ;
 139 ;  53 ; 191 ; 165 ;  61 ; 160 ;
 135 ;  55 ; 193 ; 163 ;  62 ; 161 ;
 132 ;  57 ; 195 ; 162 ;  62 ; 162 ;
 128 ;  59 ; 197 ; 158 ;  63 ; 163 ;
 124 ;  61 ; 199 ; 153 ;  63 ; 165 ;
 120 ;  63 ; 201 ; 150 ;  63 ; 166 ;
 117 ;  65 ; 202 ; 149 ;  64 ; 166 ;
 113 ;  67 ; 204 ; 149 ;  66 ; 168 ;
 109 ;  70 ; 204 ; 144 ;  68 ; 171 ;
 105 ;  72 ; 205 ; 136 ;  68 ; 176 ;
 101 ;  76 ; 205 ; 130 ;  68 ; 181 ;
  97 ;  80 ; 205 ; 123 ;  75 ; 183 ;
  94 ;  84 ; 205 ; 121 ;  78 ; 186 ;
  90 ;  89 ; 205 ; 120 ;  78 ; 189 ;
  87 ;  93 ; 205 ; 114 ;  79 ; 192 ;
  83 ;  96 ; 205 ; 111 ;  79 ; 193 ;
  80 ; 100 ; 205 ; 108 ;  80 ; 193 ;
  77 ; 103 ; 205 ; 104 ;  82 ; 193 ;
  73 ; 106 ; 205 ; 101 ;  83 ; 191 ;
  70 ; 110 ; 204 ;  97 ;  86 ; 189 ;
  67 ; 114 ; 204 ;  90 ;  91 ; 186 ;
  64 ; 118 ; 202 ;  86 ;  92 ; 182 ;
  62 ; 121 ; 201 ;  84 ;  94 ; 177 ;
  60 ; 125 ; 199 ;  84 ;  96 ; 173 ;
  58 ; 129 ; 197 ;  83 ;  98 ; 171 ;
  56 ; 133 ; 195 ;  82 ; 101 ; 170 ;
  55 ; 136 ; 192 ;  79 ; 103 ; 170 ;
  53 ; 140 ; 190 ;  78 ; 105 ; 169 ;
  51 ; 144 ; 188 ;  78 ; 110 ; 167 ;
  50 ; 148 ; 186 ;  76 ; 116 ; 167 ;
  50 ; 152 ; 183 ;  73 ; 119 ; 168 ;
  49 ; 156 ; 180 ;  69 ; 121 ; 165 ;
  49 ; 159 ; 176 ;  65 ; 127 ; 161 ;
  49 ; 163 ; 172 ;  62 ; 131 ; 156 ;
  49 ; 167 ; 167 ;  60 ; 134 ; 153 ;
  49 ; 170 ; 163 ;  56 ; 139 ; 153 ;
  49 ; 173 ; 159 ;  54 ; 141 ; 155 ;
  49 ; 176 ; 156 ;  53 ; 146 ; 155 ;
  50 ; 179 ; 152 ;  52 ; 151 ; 156 ;
  50 ; 183 ; 149 ;  52 ; 156 ; 156 ;
  50 ; 186 ; 146 ;  54 ; 161 ; 155 ;
  51 ; 189 ; 142 ;  58 ; 167 ; 152 ;
  53 ; 192 ; 138 ;  65 ; 169 ; 149 ;
  55 ; 194 ; 134 ;  73 ; 172 ; 148 ;
  56 ; 196 ; 131 ;  78 ; 175 ; 146 ;
  58 ; 198 ; 126 ;  80 ; 178 ; 145 ;
  61 ; 200 ; 122 ;  81 ; 180 ; 142 ;
  63 ; 201 ; 119 ;  80 ; 181 ; 141 ;
  65 ; 202 ; 116 ;  80 ; 182 ; 141 ;
  67 ; 204 ; 112 ;  78 ; 186 ; 137 ;
  70 ; 205 ; 108 ;  77 ; 188 ; 135 ;
  72 ; 205 ; 104 ;  77 ; 192 ; 132 ;
  76 ; 206 ; 100 ;  77 ; 197 ; 128 ;
  80 ; 206 ;  97 ;  84 ; 198 ; 123 ;
  84 ; 206 ;  93 ;  93 ; 199 ; 120 ;
  88 ; 206 ;  89 ;  96 ; 202 ; 117 ;
  92 ; 206 ;  86 ;  95 ; 205 ; 115 ;
  96 ; 206 ;  83 ;  92 ; 207 ; 113 ;
 100 ; 206 ;  79 ;  91 ; 209 ; 110 ;
 103 ; 205 ;  76 ;  91 ; 208 ; 107 ;
 107 ; 205 ;  73 ;  91 ; 207 ; 106 ;
 110 ; 205 ;  70 ;  91 ; 205 ; 103 ;
 114 ; 204 ;  67 ;  93 ; 202 ;  98 ;
 118 ; 202 ;  64 ;  96 ; 199 ;  96 ;
 121 ; 201 ;  62 ;  98 ; 198 ;  96 ;
 125 ; 199 ;  60 ; 100 ; 198 ;  95 ;
 129 ; 197 ;  58 ; 105 ; 198 ;  93 ;
 133 ; 195 ;  56 ; 109 ; 197 ;  91 ;
 136 ; 193 ;  55 ; 112 ; 197 ;  90 ;
 140 ; 191 ;  53 ; 112 ; 197 ;  90 ;
