Export der Kurvenform vom 13.04.2015 09:08:17:
----------------------------------------------
 U1= 232,2V ; U2= 231,2V ; U3= 234,2V ;
 I1= 351,4A ; I2= 345,0A ; I3= 281,8A ;
----------------------------------------------
  U1 ;  U2 ;  U3 ;  I1 ;  I2 ;  I3 ;
 207 ;  25 ; 136 ; 155 ;  98 ; 129 ;
 210 ;  27 ; 132 ; 157 ;  98 ; 128 ;
 212 ;  30 ; 127 ; 158 ;  98 ; 126 ;
 214 ;  33 ; 122 ; 160 ;  98 ; 125 ;
 216 ;  35 ; 116 ; 162 ;  98 ; 124 ;
 219 ;  38 ; 112 ; 163 ;  98 ; 123 ;
 221 ;  40 ; 107 ; 164 ;  98 ; 122 ;
 222 ;  43 ; 103 ; 164 ;  99 ; 121 ;
 224 ;  46 ;  98 ; 165 ; 101 ; 120 ;
 224 ;  50 ;  93 ; 165 ; 103 ; 119 ;
 225 ;  54 ;  88 ; 165 ; 105 ; 118 ;
 225 ;  59 ;  83 ; 166 ; 107 ; 116 ;
 225 ;  64 ;  79 ; 165 ; 109 ; 116 ;
 225 ;  70 ;  74 ; 165 ; 110 ; 115 ;
 225 ;  74 ;  71 ; 165 ; 111 ; 113 ;
 225 ;  79 ;  68 ; 165 ; 112 ; 111 ;
 225 ;  84 ;  64 ; 164 ; 114 ; 108 ;
 224 ;  89 ;  59 ; 164 ; 115 ; 105 ;
 224 ;  95 ;  54 ; 164 ; 116 ; 104 ;
 223 ; 100 ;  49 ; 163 ; 117 ; 103 ;
 222 ; 105 ;  46 ; 162 ; 118 ; 102 ;
 220 ; 109 ;  43 ; 162 ; 118 ; 101 ;
 218 ; 113 ;  41 ; 162 ; 120 ;  99 ;
 215 ; 117 ;  39 ; 162 ; 121 ;  97 ;
 213 ; 122 ;  36 ; 163 ; 123 ;  95 ;
 210 ; 128 ;  33 ; 163 ; 124 ;  94 ;
 208 ; 133 ;  31 ; 163 ; 125 ;  93 ;
 205 ; 137 ;  29 ; 163 ; 125 ;  93 ;
 202 ; 142 ;  27 ; 162 ; 127 ;  93 ;
 199 ; 146 ;  26 ; 161 ; 129 ;  93 ;
 196 ; 151 ;  25 ; 158 ; 131 ;  92 ;
 192 ; 156 ;  24 ; 156 ; 133 ;  93 ;
 188 ; 161 ;  24 ; 154 ; 134 ;  93 ;
 183 ; 165 ;  24 ; 151 ; 136 ;  93 ;
 177 ; 170 ;  24 ; 149 ; 137 ;  93 ;
 172 ; 174 ;  24 ; 148 ; 138 ;  94 ;
 167 ; 177 ;  25 ; 146 ; 141 ;  93 ;
 162 ; 180 ;  25 ; 145 ; 144 ;  94 ;
 157 ; 184 ;  26 ; 143 ; 147 ;  93 ;
 151 ; 190 ;  27 ; 142 ; 150 ;  94 ;
 146 ; 195 ;  27 ; 141 ; 151 ;  94 ;
 141 ; 199 ;  29 ; 141 ; 152 ;  94 ;
 136 ; 202 ;  31 ; 140 ; 154 ;  94 ;
 133 ; 204 ;  34 ; 139 ; 155 ;  94 ;
 128 ; 206 ;  36 ; 137 ; 157 ;  93 ;
 123 ; 208 ;  38 ; 136 ; 159 ;  93 ;
 117 ; 211 ;  41 ; 134 ; 160 ;  93 ;
 112 ; 213 ;  43 ; 134 ; 161 ;  93 ;
 108 ; 215 ;  46 ; 133 ; 161 ;  94 ;
 103 ; 217 ;  49 ; 132 ; 161 ;  95 ;
  99 ; 218 ;  53 ; 131 ; 161 ;  97 ;
  94 ; 218 ;  56 ; 129 ; 162 ;  99 ;
  90 ; 219 ;  61 ; 127 ; 162 ; 101 ;
  85 ; 219 ;  66 ; 125 ; 162 ; 103 ;
  80 ; 219 ;  71 ; 124 ; 163 ; 105 ;
  76 ; 219 ;  77 ; 123 ; 163 ; 105 ;
  71 ; 219 ;  81 ; 122 ; 163 ; 106 ;
  68 ; 218 ;  86 ; 120 ; 163 ; 107 ;
  65 ; 218 ;  90 ; 117 ; 163 ; 109 ;
  61 ; 218 ;  96 ; 114 ; 163 ; 111 ;
  56 ; 217 ; 102 ; 111 ; 163 ; 112 ;
  50 ; 216 ; 107 ; 109 ; 162 ; 112 ;
  46 ; 215 ; 111 ; 108 ; 162 ; 113 ;
  43 ; 213 ; 116 ; 107 ; 162 ; 113 ;
  41 ; 211 ; 120 ; 106 ; 162 ; 114 ;
  39 ; 208 ; 125 ; 104 ; 162 ; 116 ;
  37 ; 206 ; 130 ; 102 ; 162 ; 117 ;
  34 ; 203 ; 136 ; 101 ; 162 ; 118 ;
  32 ; 201 ; 140 ;  99 ; 162 ; 119 ;
  30 ; 198 ; 145 ;  99 ; 161 ; 119 ;
  28 ; 195 ; 149 ;  99 ; 160 ; 120 ;
  28 ; 192 ; 154 ;  98 ; 158 ; 122 ;
  27 ; 188 ; 159 ;  98 ; 156 ; 123 ;
  26 ; 184 ; 164 ;  98 ; 154 ; 124 ;
  26 ; 179 ; 169 ;  97 ; 152 ; 125 ;
  26 ; 173 ; 173 ;  98 ; 151 ; 126 ;
  26 ; 168 ; 177 ;  98 ; 150 ; 128 ;
  26 ; 163 ; 181 ;  98 ; 149 ; 129 ;
  26 ; 159 ; 184 ;  98 ; 147 ; 132 ;
  27 ; 154 ; 188 ;  98 ; 146 ; 135 ;
  27 ; 149 ; 193 ;  99 ; 144 ; 137 ;
  28 ; 143 ; 198 ;  99 ; 143 ; 138 ;
  28 ; 138 ; 203 ; 100 ; 143 ; 139 ;
  30 ; 133 ; 206 ; 101 ; 142 ; 140 ;
  32 ; 129 ; 208 ; 101 ; 141 ; 142 ;
  34 ; 125 ; 210 ; 101 ; 140 ; 144 ;
  37 ; 120 ; 213 ; 100 ; 138 ; 146 ;
  39 ; 115 ; 216 ;  99 ; 137 ; 148 ;
  42 ; 110 ; 218 ;  99 ; 136 ; 149 ;
  44 ; 105 ; 221 ;  99 ; 135 ; 149 ;
  47 ; 100 ; 223 ; 100 ; 134 ; 150 ;
  50 ;  96 ; 224 ; 101 ; 133 ; 150 ;
  53 ;  92 ; 225 ; 102 ; 131 ; 150 ;
  56 ;  87 ; 226 ; 105 ; 129 ; 150 ;
  60 ;  82 ; 227 ; 107 ; 127 ; 150 ;
  65 ;  77 ; 227 ; 110 ; 125 ; 149 ;
  70 ;  73 ; 227 ; 112 ; 124 ; 149 ;
